TICKETNO,ADV_DATE,BRANCHID,ADV_AMOUNT,NETWEIGHT,CAP_AMOUNT,ACCR_INTEREST,CAPITAL_PAY,AVG_KARATAGE,PRODUCTINTEREST,PRODUCTNAME,GENDER,SECTOR_DESC,SUBSECTOR_DESC,TICKET_AGE,CLASSIFI_BUCKET
40095548,31-Oct-22,4,30100,2.47,30100,309.25,0,21,25,Pawning - Normal Scheme,F,Consumption,Consumption,0,1A
60179907,31-Oct-22,6,66116.11,10.36,66116.11,679.28,0,21,25,Pawning - Normal Scheme,F,Consumption,Consumption,0,1A
30070656,31-Oct-22,3,180000,14.8,180000,1849.32,0,21,25,Pawning - Normal Scheme,F,Consumption,Consumption,0,1A
100329012,31-Oct-22,10,123539,15.62,123539,1269.24,0,19,25,Pawning - Normal Scheme,F,Consumption,Consumption,0,1A
50158494,31-Oct-22,5,130000,13.93,130000,1335.62,0,18,25,Pawning - Normal Scheme,F,Agriculture,Agriculture Others,0,1A
60179892,31-Oct-22,6,25100,2.5,25100,257.88,0,18,25,Pawning - Normal Scheme,F,Agriculture,Agriculture Others,0,1A
80102482,31-Oct-22,8,62100,6.75,62100,638.01,0,16,25,Pawning - Normal Scheme,F,Consumption,Consumption,0,1A
40095546,31-Oct-22,4,172100,18.21,172100,1768.15,0,16,25,Pawning - Normal Scheme,F,Consumption,Consumption,0,1A
80102490,31-Oct-22,8,250100,33.42,250100,2569.52,0,18,25,Pawning - Normal Scheme,F,Consumption,Consumption,0,1A
100329001,31-Oct-22,10,200200,24.21,200200,2056.85,0,16,25,Pawning - Normal Scheme,F,Consumption,Consumption,0,1A
60179880,31-Oct-22,6,32472.56,4,32472.56,333.62,0,14,25,Pawning - Normal Scheme,F,Consumption,Consumption,0,1A
80102485,31-Oct-22,8,90100,8.81,90100,925.68,0,18,25,Pawning - Normal Scheme,F,Consumption,Consumption,0,1A
40095552,31-Oct-22,4,90100,10.57,90100,925.68,0,18,25,Pawning - Normal Scheme,F,Consumption,Consumption,0,1A
50158492,31-Oct-22,5,250000,32.98,250000,2568.49,0,22,25,Pawning - Normal Scheme,F,Agriculture,Agriculture Others,0,1A
90034680,31-Oct-22,9,50100.01,4.8,50100.01,514.73,0,18.5,25,Pawning - Normal Scheme,F,Consumption,Consumption,0,1A
70199072,31-Oct-22,7,107517.03,11.04,107517.03,1104.63,0,18,25,Pawning - Normal Scheme,F,Agriculture,Agriculture Others,0,1A
70199056,31-Oct-22,7,66775.96,6.37,66775.96,686.05,0,18,25,Pawning - Normal Scheme,F,Agriculture,Fishery,0,1A
40095557,31-Oct-22,4,60100,7.78,60100,617.47,0,20,25,Pawning - Normal Scheme,F,Consumption,Consumption,0,1A
60179883,31-Oct-22,6,49100,4.04,49100,504.45,0,21,25,Pawning - Normal Scheme,F,Agriculture,Agriculture Others,0,1A
70199060,31-Oct-22,7,500000,54.4,500000,5136.99,0,16.67,25,Pawning - Normal Scheme,F,Agriculture,Agriculture Others,0,1A
30070657,31-Oct-22,3,72570,6.3,72570,745.58,0,20,25,Pawning - Normal Scheme,M,Consumption,Consumption,0,1A
60179901,31-Oct-22,6,164365,13.45,164365,1688.68,0,21,25,Pawning - Normal Scheme,M,Agriculture,Agriculture Others,0,1A
60179882,31-Oct-22,6,67196.32,8.23,67196.32,690.37,0,20,25,Pawning - Normal Scheme,M,Consumption,Consumption,0,1A
60179893,31-Oct-22,6,135100,12.29,135100,1388.01,0,19,25,Pawning - Normal Scheme,M,Agriculture,Agriculture Others,0,1A
80102483,31-Oct-22,8,40100,3.74,40100,411.99,0,21,25,Pawning - Normal Scheme,M,Consumption,Consumption,0,1A
70199069,31-Oct-22,7,30533.97,5.11,30533.97,313.71,0,22,25,Pawning - Normal Scheme,M,Agriculture,Other Crops,0,1A
70199036,31-Oct-22,7,410598.79,38.83,410598.79,4218.48,0,18.5,25,Pawning - Normal Scheme,M,Agriculture,Other Crops,0,1A
80102481,31-Oct-22,8,25100,8.9,25100,257.88,0,16,25,Pawning - Normal Scheme,M,Consumption,Consumption,0,1A
40095564,31-Oct-22,4,930100,79.85,930100,9555.82,0,20,25,Pawning - Normal Scheme,M,Consumption,Consumption,0,1A
30070653,31-Oct-22,3,120000,10.73,120000,1232.88,0,20,25,Pawning - Normal Scheme,M,Consumption,Consumption,0,1A
60179891,31-Oct-22,6,120100,12.1,120100,1233.9,0,21,25,Pawning - Normal Scheme,M,Agriculture,Agriculture Others,0,1A
60179895,31-Oct-22,6,70100,7.12,70100,720.21,0,17,25,Pawning - Normal Scheme,M,Agriculture,Agriculture Others,0,1A
50158506,31-Oct-22,5,40100,6.19,40100,411.99,0,21,25,Pawning - Normal Scheme,M,Agriculture,Agriculture Others,0,1A
70199034,31-Oct-22,7,143100,12.98,143100,1470.21,0,19,25,Pawning - Normal Scheme,M,Agriculture,House Repairs,0,1A
50158509,31-Oct-22,5,18500,7.91,18500,190.07,0,20,25,Pawning - Normal Scheme,M,Agriculture,Agriculture Others,0,1A
40095554,31-Oct-22,4,100100,9.95,100100,1028.42,0,18,25,Pawning - Normal Scheme,M,Consumption,Consumption,0,1A
30070654,31-Oct-22,3,125000,9.9,125000,1284.25,0,22,25,Pawning - Normal Scheme,M,Consumption,Consumption,0,1A
70199032,31-Oct-22,7,97842.47,8.03,97842.47,1005.23,0,21,25,Pawning - Normal Scheme,M,Agriculture,House Repairs,0,1A
